Gene;alias
DDX6P1;DDX6P
DDX6P1;DDX6-Lp
DDX6P1;bA150A6.3
DDX10;HRH-J8
DDX11;CHLR1
DDX11;KRG2
DDX11;CHL1
DDX11;ChlR1
DDX11;WABS
DDX11-AS1;CONCR
DDX11L10;DDX11P
DDX11L10;DDX11L1
DDX12P;DDX12
DDX12P;CHLR2
DDX17;P72
DDX18;MrDb
DDX19A;DDX19L
DDX19A;FLJ11126
DDX19B;DDX19
DDX19B;DBP5
DDX20;DP103
DDX20;GEMIN3
DDX21;RH-II/GU
DDX21;GURDB
DDX23;prp28
DDX23;U5-100K
DDX23;PRPF28
DDX23;SNRNP100
DDX25;GRTH
DDX27;dJ686N3.1
DDX27;DRS1
DDX28;MDDX28
DDX28;FLJ11282
DDX31;FLJ13633
DDX31;FLJ23349
DDX31;FLJ14578
DDX31;PPP1R25
DDX39A;DDX39
DDX39A;DDXL
DDX39A;BAT1L
DDX39A;URH49
DDX39B;BAT1
DDX39B;D6S81E
DDX39B;UAP56
DDX39BP1;BAT1P1
DDX39BP2;BAT1P2
DDX39BP2;BPG309N1.15
DDX41;ABS
DDX41;MGC8828
DDX42;RNAHP
DDX42;RHELP
DDX42;SF3b125
DDX42;SF3B8
DDX43;HAGE
DDX43;DKFZp434H2114
DDX43;CT13
DDX46;KIAA0801
DDX46;FLJ25329
DDX46;PRPF5
DDX46;Prp5
DDX47;DKFZp564O176
DDX47;FLJ30012
DDX47;HQ0256
DDX47;RRP3
DDX49;FLJ10432
DDX50;GU2
DDX50;MGC3199
DDX50;GUB
DDX50;RH-II/GuB
DDX50P2;RH_II/GuBp2
DDX52;ROK1
DDX53;CAGE
DDX53;CT26
DDX54;MGC2835
DDX54;APR-5
DDX54;DP97
DDX55;KIAA1595
DDX56;NOH61
DDX58;RIG-I
DDX58;FLJ13599
DDX58;DKFZp434J1111
DDX59;DKFZP564B1023
DDX59;ZNHIT5
DDX60;FLJ20035
DDX60L;FLJ31033
DEAF1;NUDR
DEAF1;SPN
DEAF1;ZMYND5
DEC1;CTS9
DECR1;DECR
DECR1;SDR18C1
DECR2;PDCR
DECR2;SDR17C1
DEDD;DEFT
DEDD;FLDED1
DEDD;CASP8IP1
DEDD;KE05
DEDD;DEDD1
DEDD2;FLAME-3
DEF6;IBP
DEF6;SLAT
DEF6;SWAP70L
DEF8;FLJ20186
DEFA1;DEF1
DEFA1;MRS
DEFA1;DEFA2
DEFA1;HNP-1
DEFA1A3;DEFA1
DEFA1A3;DEFA3
DEFA1A3;DEFT1P
DEFA3;DEF3
DEFA3;HNP-3
DEFA4;DEF4
DEFA4;HP-4
DEFA5;DEF5
DEFA5;HD-5
DEFA6;HD-6
DEFA6;DEF6
DEFA7P;DEFA7
DEFA8P;DEFAP1
DEFA9P;DEFAP2
DEFA11P;DEFAP3
DEFB1;HBD-1
DEFB1;DEFB-1
DEFB1;DEFB101
DEFB1;HBD1
DEFB1;BD1
DEFB1;MGC51822
DEFB4A;DEFB102
DEFB4A;DEFB2
DEFB4A;DEFB4
DEFB4A;SAP1
DEFB4A;HBD-2
DEFB4A;DEFB-2
DEFB4B;DEFB4P
DEFB103A;DEFB3
DEFB103A;DEFB103
DEFB103A;HBD-3
DEFB103A;HBP-3
DEFB103A;HBD3
DEFB103A;HBP3
DEFB103A;DEFB-3
DEFB104A;DEFB104
DEFB104A;DEFB4
DEFB104A;DEFB-4
DEFB105A;DEFB105
DEFB105A;DEFB-5
DEFB106A;DEFB106
DEFB106A;DEFB-6
DEFB107A;DEFB107
DEFB107A;DEFB-7
DEFB107B;HsT21816
DEFB108P1;DEFB108
DEFB108P1;DEFB-8
DEFB108P1;DEFB108A
DEFB109P1;DEFB109
DEFB109P1;DEFB-9
DEFB109P1;DEFB109A
DEFB110;DEFB-10
DEFB110;DEFB-11
DEFB110;DEFB111
DEFB112;DEFB-12
DEFB113;DEFB-13
DEFB114;DEFB-14
DEFB115;DEFB-15
DEFB116;DEFB-16
DEFB117;DEFB-17
DEFB118;C20orf63
DEFB118;dJ1018D12.3
DEFB118;DEFB-18
DEFB118;ESC42
DEFB119;DEFB120
DEFB119;DEFB-19
DEFB119;DEFB-20
DEFB121;DEFB-21
DEFB122;DEFB-22
DEFB122;DEFB122P
DEFB123;DEFB-23
DEFB124;DEFB-24
DEFB125;DEFB-25
DEFB126;C20orf8
DEFB126;bA530N10.1
DEFB126;DEFB-26
DEFB127;C20orf73
DEFB127;bA530N10.2
DEFB127;DEF-27
DEFB128;DEFB-28
DEFB129;C20orf87
DEFB129;bA530N10.3
DEFB129;DEFB-29
DEFB130;DEFB-30
DEFB130;DEFB30
DEFB131;DEFB-31
DEFB132;RP5-1103G7.6
DEFB132;DEFB32
DEFB136;DEFB137
DEFT1P;DEFQ1
DEFT1P;DEFT1
DEGS1;MLD
DEGS1;Des-1
DEGS1;DES1
DEGS1;FADS7
DEGS1;DEGS-1
DEGS2;C14orf66
DEGS2;DES2
DEGS2;FADS8
DEK;D6S231E
DENND1A;KIAA1608
DENND1A;FLJ21129
DENND1A;FAM31A
DENND1B;FAM31B
DENND1B;C1orf218
DENND1B;MGC27044
DENND1B;FLJ20054
DENND1C;FAM31C
DENND1C;FLJ22757
DENND2A;KIAA1277
DENND2A;FAM31D
DENND2C;FLJ37099
DENND2C;DKFZp686G0351
DENND2C;DKFZp779P1149
DENND2C;dJ1156J9.1
DENND2C;RP5-1156J9.1
DENND2D;FLJ22457
DENND2D;RP5-1180E21.2
DENND3;KIAA0870
DENND4A;MYCPBP
DENND4A;IRLB
DENND4B;KIAA0476
DENND4C;C9orf55B
DENND4C;C9orf55
DENND4C;FLJ20686
DENND4C;bA513M16.3
DENND4C;RAB10GEF
DENND5A;RAB6IP1
DENND5A;KIAA1091
DENND5A;FLJ22354
DENND5A;FLJ33829
DENND5A;FLJ43455
DENND5B;MGC24039
DENND6A;FAM116A
DENND6A;FLJ34969
DENND6A;AFI1A
DENND6B;FAM116B
DENND6B;MGC33692
DENND6B;AFI1B
DENR;DRP
DENR;DRP1
DENR;SMAP-3
DEPDC1;DEP.8
DEPDC1;FLJ20354
DEPDC1;SDP35
DEPDC1;DEPDC1A
DEPDC1B;XTP1
DEPDC1B;BRCC3
DEPDC4;DEP.4
DEPDC4;FLJ33505
DEPDC5;KIAA0645
DEPDC5;DEP.5
DEPTOR;DEPDC6
DEPTOR;DEP.6
DEPTOR;FLJ12428
DERA;CGI-26
DERA;DEOC
DERL1;MGC3067
DERL1;PRO2577
DERL1;FLJ13784
DERL1;DER1
DERL1;DER-1
DERL1;derlin-1
DERL2;F-LAN-1
DERL2;FLANa
DERL2;F-LANa
DERL2;CGI-101
DERL2;derlin-2
DERL3;C22orf14
DERL3;FLJ43842
DERL3;MGC71803
DERL3;derlin-3
DERL3;IZP6
DES;CMD1I
DES;CSM1
DES;CSM2
DESI1;FAM152B
DESI1;PPPDE2
DESI1;D15Wsu75e
DESI2;C1orf121
DESI2;FAM152A
DESI2;PPPDE1
DESI2;CGI-146
DESI2;FLJ21998
DESI2;PNAS-4
DET1;FLJ10103
DEUP1;CCDC67
DEUP1;FLJ25393
DEXI;MYLE
DFFA;DFF-45
DFFA;DFF45
DFFA;ICAD
DFFA;DFF1
DFFB;CAD
DFFB;CPAN
DFFB;DFF-40
DFFB;DFF40
DFNA5;ICERE-1
DFNA42;DFNA52
DFNB59;pejvakin
DFNX3;DFN4
DGAT1;ARGP1
DGAT1;DGAT
DGAT2L6;DC3
DGAT2L6;FLJ25989
DGCR;CATCH22
DGCR2;KIAA0163
DGCR2;LAN
DGCR2;IDD
DGCR2;DGS-C
DGCR2;SEZ-12
DGCR5;NCRNA00037
DGCR5;LINC00037
DGCR6L;FLJ10666
DGCR8;C22orf12
DGCR8;DGCRK6
DGCR8;Gy1
DGCR8;pasha
DGCR9;DGS-A
DGCR9;POM121L5P
DGCR10;DGS-B
DGCR11;DGS-D
DGCR12;DGS-E
DGCR14;DGCR13
DGCR14;DGSI
DGCR14;Es2el
DGCR14;ES2
DGCR14;DGS-H
DGKA;DAGK
DGKA;DAGK1
DGKA;DGK-alpha
DGKB;DAGK2
DGKB;KIAA0718
DGKB;DGK
DGKB;DGK-BETA
DGKD;KIAA0145
DGKD;DGKdelta
DGKE;DAGK6
DGKE;DGK
DGKG;DAGK3
DGKH;DGKeta
DGKI;DGK-IOTA
DGKQ;DAGK4
DGKQ;DAGK
DGKQ;DAGK7
DGKZ;DAGK5
DGKZ;hDGKzeta
DGKZ;DGK-ZETA
DGKZ;DAGK6
DGUOK;dGK
DHCR7;SLOS
DHCR24;DCE
DHCR24;KIAA0018
DHCR24;seladin-1
DHDDS;HDS
DHDDS;FLJ13102
DHDDS;DS
DHDDS;RP59
DHDH;HUM2DD
DHFR2;DHFRP4
DHFR2;DHFRL1
DHFR2;FLJ16119
DHH;HHG-3
DHH;MGC35145
DHPS;MIG13
DHRS1;FLJ25430
DHRS1;MGC20204
DHRS1;SDR19C1
DHRS2;HEP27
DHRS2;SDR25C1
DHRS3;retSDR1
DHRS3;Rsdr1
DHRS3;SDR1
DHRS3;RDH17
DHRS3;SDR16C1
DHRS4;SCAD-SRL
DHRS4;SDR-SRL
DHRS4;humNRDR
DHRS4;FLJ11008
DHRS4;SDR25C2
DHRS4-AS1;C14orf167
DHRS4-AS1;PRO1488
DHRS4-AS1;AS1DHRS4
DHRS4L1;SDR25C4
DHRS4L2;SDR25C3
DHRS7;retDSR4
DHRS7;SDR34C1
DHRS7B;DKFZp566O084
DHRS7B;MGC8916
DHRS7B;CGI-93
DHRS7B;SDR32C1
DHRS7C;SDR32C2
DHRS9;RDHL
DHRS9;3alpha-HSD
DHRS9;RETSDR8
DHRS9;RDH15
DHRS9;SDR9C4
DHRS11;MGC4172
DHRS11;SDR24C1
DHRS12;FLJ13639
DHRS12;SDR40C1
DHRS13;MGC23280
DHRS13;SDR7C5
DHRSX;DHRS5X
DHRSX;DHRSXY
DHRSX;DHRSY
DHRSX;DHRS5Y
DHRSX;SDR46C1
DHRSX;SDR7C6
DHRSX-IT1;DHRSXIT1
DHRSX-IT1;DHRSX-IT
DHTKD1;KIAA1630
DHTKD1;MGC3090
DHTKD1;DKFZP762M115
DHTKD1;CMT2Q
DHX8;DDX8
DHX8;HRH1
DHX8;PRP22
DHX8;PRPF22
DHX9;LKP
DHX9;DDX9
DHX9;RHA
DHX9P1;DDX9P
DHX9P1;DHX9P
DHX15;DDX15
DHX15;HRH2
DHX15;DBP1
DHX15;PRP43
DHX15;PrPp43p
DHX15;PRPF43
DHX16;DDX16
DHX16;DBP2
DHX16;Prp2
DHX16;PRPF2
DHX29;DDX29
DHX30;DDX30
DHX30;KIAA0890
DHX30;FLJ11214
DHX32;DDX32
DHX32;FLJ10889
DHX32;FLJ10694
DHX32;DHLP1
DHX33;DDX33
DHX33;FLJ21972
DHX33;DKFZp762F2011
DHX34;DDX34
DHX34;KIAA0134
DHX35;C20orf15
DHX35;DDX35
DHX35;FLJ22759
DHX35;KAIA0875
DHX36;DDX36
DHX36;MLEL1
DHX36;KIAA1488
DHX37;DDX37
DHX37;KIAA1517
DHX37;MGC4322
DHX37;MGC2695
DHX38;DDX38
DHX38;PRP16
DHX38;KIAA0224
DHX38;hPrp16
DHX38;PRPF16
DHX40;DDX40
DHX40;ARG147
DHX40;PAD
DHX40;FLJ22060
DHX40P1;DHX40P
DHX57;DDX57
DHX58;LGP2
DHX58;D11LGP2
DIABLO;SMAC
DIABLO;DIABLO-S
DIABLO;FLJ25049
DIABLO;FLJ10537
DIABLO;DFNA64
DIAPH1;DFNA1
DIAPH1;hDIA1
DIAPH1;LFHL1
DIAPH2;POF
DIAPH2;DIA
DIAPH2;POF2
DIAPH2;DIA2
DIAPH3;AUNA1
DIAPH3;DRF3
DIAPH3;FLJ34705
DIAPH3;AN
DIAPH3;NSDAN
DICER1;MNG1
DICER1;Dicer
DICER1;KIAA0928
DICER1;K12H4.8-LIKE
DICER1;HERNA
DICER1-AS1;FLJ45244
DICER1-AS1;DICER1-AS
DIDO1;C20orf158
DIDO1;DATF1
DIDO1;DIO1
DIDO1;dJ885L7.8
DIDO1;FLJ11265
DIDO1;KIAA0333
DIDO1;DIO-1
DIDO1;BYE1
DIEXF;C1orf107
DIEXF;MGC29875
DIEXF;DEF
DIEXF;UTP25
DIH1;HCD
DIMT1;DIMT1L
DIMT1;HSA9761
DIO1;TXDI1
DIO2;TXDI2
DIO2;SelY
DIO3;TXDI3
DIO3OS;C14orf134
DIO3OS;NCRNA00041
DIO3OS;DIO3-AS1
DIP2A;C21orf106
DIP2A;Dip2
DIP2A;KIAA0184
DIP2B;KIAA1463
DIP2B;FLJ34278
DIP2C;KIAA0934
DIRAS1;Di-Ras1
DIRAS1;GBTS1
DIRAS1;RIG
DIRAS2;Di-Ras2
DIRAS2;DKFZp761C07121
DIRAS3;ARHI
DIRAS3;NOEY2
DIRC2;FLJ14784
DIRC2;RCC4
DIRC3;FLJ14199
DIS3;KIAA1008
DIS3;dis3p
DIS3;RRP44
DIS3;EXOSC11
DIS3L;MGC4562
DIS3L;FLJ38088
DIS3L;KIAA1955
DIS3L;DIS3L1
DIS3L2;FAM6A
DIS3L2;FLJ36974
DIS3L2;MGC42174
DIS3L2P1;FAM6B
DIS3L2P1;DIS3L2P
DISC2;DISC1-AS1
DISC2;DISC1OS
DISC2;NCRNA00015
DISP1;DISPA
DISP1;MGC13130
DISP1;DKFZP434I0428
DISP1;MGC16796
DISP2;LINC00594
DISP2;C15orf36
DISP2;DISPB
DISP2;KIAA1742
DISP2;HsT16908
DISP3;PTCHD2
DISP3;KIAA1337
DIXDC1;KIAA1735
DIXDC1;Dixin
DKC1;DKC
DKC1;XAP101
DKC1;dyskerin
DKC1;NAP57
DKC1;NOLA4
DKC1;Cbf5
DKK1;SK
DKK1;DKK-1
DKK3;REIC
DKK3;RIG
DKKL1;SGY-1
DKKL1;CT34
DKKL1P1;DKKL2
DKKL1P1;dJ854E16.1
DLAT;DLTA
DLAT;PDC-E2
DLC1;HP
DLC1;ARHGAP7
DLC1;STARD12
DLC1;DLC-1
DLC1;p122-RhoGAP
DLD;LAD
DLD;GCSL
DLD;DLDH
DLEC1;DLC1
DLEC1;CFAP81
DLEU1;DLB1
DLEU1;BCMS
DLEU1;LEU1
DLEU1;XTP6
DLEU1;NCRNA00021
DLEU1;LINC00021
DLEU1;BCMS1
DLEU1-AS1;LINC01308
DLEU2;DLB2
DLEU2;BCMSUN
DLEU2;RFP2OS
DLEU2;LEU2
DLEU2;TRIM13OS
DLEU2;NCRNA00022
DLEU2;LINC00022
DLEU2;MIR15AHG
DLEU2L;BCMSUNL
DLEU7;FLJ44882
DLG1;SAP97
DLG1;SAP-97
DLG1;hdlg
DLG1;DLGH1
DLG1;dJ1061C18.1.1
DLG2;PSD-93
DLG2;PSD93
DLG2;chapsyn-110
DLG2;PPP1R58
DLG2-AS1;DLG2AS
DLG2-AS1;DLG2-AS
DLG2-AS1;PSZA11q14
DLG2-AS1;SZ-1
DLG3;NE-Dlg
DLG3;SAP102
DLG3;SAP-102
DLG3;NEDLG
DLG3;KIAA1232
DLG3;MRX90
DLG3;PPP1R82
DLG4;PSD-95
DLG4;PSD95
DLG4;SAP90
DLG4;SAP-90
DLG5;P-dlg
DLG5;KIAA0583
DLGAP1;GKAP
DLGAP1;SAPAP1
DLGAP1;DAP-1
DLGAP1-AS1;HsT914
DLGAP1-AS1;FLJ35776
DLGAP1-AS2;MGC11082
DLGAP2;DAP-2
DLGAP3;SAPAP3
DLGAP3;DAP3
DLGAP4;DAP4
DLGAP4;KIAA0964
DLGAP4;SAPAP4
DLGAP4-AS1;CCAT7
DLGAP5;DLG7
DLGAP5;KIAA0008
DLGAP5;DLG1
DLGAP5;HURP
DLK1;FA1
DLK1;pG2
DLK1;Pref-1
DLK1;ZOG
DLK1;Delta1
DLK2;EGFL9
DLK2;MGC2487
DLL3;SCDO1
DLST;DLTS
DLSTP1;DLSTP
DLX2;TES-1
DLX2-AS1;TCONS_00003049
DLX4;DLX7
DLX4;DLX9
DLX4;DLX8
DLX4;BP1
DLX6-AS1;NCRNA00212
DLX6-AS1;FLJ34048
DLX6-AS1;Evf-2
DMAP1;DNMAP1
DMAP1;FLJ11543
DMAP1;KIAA1425
DMAP1;DNMTAP1
DMAP1;EAF2
DMAP1;MEAF2
DMAP1;SWC4
DMBT1;GP340
DMBT1;muclin
DMBT1;SALSA
DMBT1;Gp-340
DMBT1;hensin
DMBT1;vomeroglandin
DMBX1;OTX3
DMBX1;PAXB
DMC1;LIM15
DMD;MRX85
DMD;BMD
DMD;DXS142
DMD;DXS164
DMD;DXS206
DMD;DXS230
DMD;DXS239
DMD;DXS268
DMD;DXS269
DMD;DXS270
DMD;DXS272
DMKN;ZD52F10
DMPK;DM1
DMPK;DM
DMPK;DMK
DMPK;DM1PK
DMPK;MDPK
DMPK;MT-PK
DMRT1;DMT1
DMRT1;CT154
DMRT3;DMRTA3
DMTF1;DMP1
DMTF1;DMTF
DMTF1;hDMP1
DMTF1;MRUL
DMTN;EPB49
DMTN;DMT
DMWD;DMR-N9
DMWD;gene59
DMWD;D19S593E
DMXL2;RC3
DMXL2;KIAA0856
DNA2;DNA2L
DNA2;KIAA0083
DNAAF1;LRRC50
DNAAF1;FLJ25330
DNAAF1;ODA7
DNAAF1;CILD13
DNAAF1;swt
DNAAF2;C14orf104
DNAAF2;FLJ10563
DNAAF2;KTU
DNAAF2;PF13
DNAAF2;CILD10
DNAAF3;C19orf51
DNAAF3;CILD2
DNAAF3;FLJ40069
DNAAF3;FLJ36139
DNAAF3;PF22
DNAAF3;PCD
DNAAF5;HEATR2
DNAAF5;FLJ20397
DNAAF5;FLJ31671
DNAAF5;FLJ39381
DNAAF5;FLJ25564
DNAAF5;CILD18
DNAH1;XLHSRF-1
DNAH1;DNAHC1
DNAH1;HDHC7
DNAH1;HL-11
DNAH1;HL11
DNAH2;DNHD3
DNAH2;KIAA1503
DNAH2;FLJ46675
DNAH3;Dnahc3b
DNAH3;DLP3
DNAH3;Hsadhc3
DNAH3;DKFZp434N074
DNAH5;Dnahc5
DNAH5;HL1
DNAH5;PCD
DNAH5;CILD3
DNAH5;KTGNR
DNAH6;DNHL1
DNAH6;Dnahc6
DNAH6;HL-2
DNAH6;FLJ37357
DNAH7;KIAA0944
DNAH8;hdhc9
DNAH9;DNAH17L
DNAH9;Dnahc9
DNAH9;KIAA0357
DNAH9;HL20
DNAH9;HL-20
DNAH9;DNAL1
DNAH9;DYH9
DNAH10;FLJ43808
DNAH10OS;FLJ45278
DNAH11;Dnahc11
DNAH11;DPL11
DNAH11;CILD7
DNAH11;DNAHC11
DNAH11;DNAHBL
DNAH11;DNHBL
DNAH12;DNHD2
DNAH12;DNAH12L
DNAH12;DNAH7L
DNAH12;DLP12
DNAH12;Dnahc3
DNAH12;HL-19
DNAH12;hdhc3
DNAH12;DHC3
DNAH12;FLJ40427
DNAH12;FLJ44290
DNAH14;C1orf67
DNAH14;Dnahc14
DNAH14;HL-18
DNAH14;HL18
DNAH14;DKFZp781B1548
DNAH14;MGC27277
DNAH17;DNAHL1
DNAH17;DNEL2
DNAH17;FLJ40457
DNAI1;DIC1
DNAI1;PCD
DNAI1;CILD1
DNAI2;CILD9
DNAI2;DIC2
DNAJA1;HSJ2
DNAJA1;HSPF4
DNAJA1;hdj-2
DNAJA1;dj-2
DNAJA1;NEDD7
DNAJA2;HIRIP4
DNAJA2;DNAJ
DNAJA2;CPR3
DNAJA2;DNJ3
DNAJA3;TID1
DNAJA3;hTid-1
DNAJA4;PRO1472
DNAJB1;HSPF1
DNAJB1;Hsp40
DNAJB1;Sis1
DNAJB1;RSPH16B
DNAJB1P1;DNAJB1P
DNAJB1P1;psiHSP40
DNAJB2;HSJ1
DNAJB2;HSPF3
DNAJB2;CMT2T
DNAJB3;HCG3
DNAJB4;HLJ1
DNAJB5;Hsc40
DNAJB6;LGMD1D
DNAJB6;MRJ
DNAJB7;HSC3
DNAJB8;MGC33884
DNAJB8;CT156
DNAJB9;MDG1
DNAJB11;EDJ
DNAJB11;HEDJ
DNAJB11;ERdj3
DNAJB12;DJ10
DNAJB12;FLJ20027
DNAJB13;TSARG6
DNAJB13;RSPH16A
DNAJB14;FLJ14281
DNAJC1;DNAJL1
DNAJC1;ERdj1
DNAJC1;MTJ1
DNAJC2;ZRF1
DNAJC2;MPP11
DNAJC2;MPHOSPH11
DNAJC2;ZUO1
DNAJC2;zuotin
DNAJC3;PRKRI
DNAJC3;P58
DNAJC3;P58IPK
DNAJC3;HP58
DNAJC3;ERdj6
DNAJC4;HSPF2
DNAJC4;MCG18
DNAJC5;CLN4
DNAJC5;FLJ00118
DNAJC5;FLJ13070
DNAJC5;DNAJC5A
DNAJC5B;MGC26226
DNAJC5B;CSP-beta
DNAJC5G;FLJ40417
DNAJC5G;CSP-gamma
DNAJC6;KIAA0473
DNAJC6;PARK19
DNAJC7;TTC2
DNAJC7;TPR2
DNAJC8;SPF31
DNAJC9;JDD1
DNAJC9;SB73
DNAJC9-AS1;C10orf103
DNAJC9-AS1;bA537A6.3
DNAJC10;ERdj5
DNAJC10;PDIA19
DNAJC11;FLJ10737
DNAJC12;JDP1
DNAJC13;RME8
DNAJC13;KIAA0678
DNAJC14;DNAJ
DNAJC14;DRIP78
DNAJC14;HDJ3
DNAJC14;LIP6
DNAJC14;FLJ32792
DNAJC15;DNAJD1
DNAJC15;MCJ
DNAJC16;KIAA0962
DNAJC17;FLJ10634
DNAJC18;MGC29463
DNAJC19;TIMM14
DNAJC19;Tim14
DNAJC19;Pam18
DNAJC21;GS3
DNAJC21;DNAJA5
DNAJC21;JJJ1
DNAJC22;wus
DNAJC22;FLJ13236
DNAJC24;ZCSL3
DNAJC24;DPH4
DNAJC24;JJJ3
DNAJC25;bA16L21.2.1
DNAJC27;RBJ
DNAJC27;RabJS
DNAJC28;C21orf55
DNAJC28;C21orf78
DNAJC30;WBSCR18
DNAL1;C14orf168
DNAL1;MGC12435
DNAL1;1700010H15RiK
DNAL1;CILD16
DNAL4;dJ327J16
DNAL4;PIG27
DNALI1;P28
DNALI1;hp28
DNALI1;dJ423B22.5
DNASE1;DNL1
DNASE1L1;DNL1L
DNASE1L1;DNAS1L1
DNASE1L1;XIB
DNASE1L1;DNASEX
DNASE1L2;DNAS1L2
DNASE1L3;DNAS1L3
DNASE1L3;LSD
DNASE2;DNL
DNASE2;DNL2
DNASE2B;DLAD
DND1;MGC34750
DND1;RBMS4
DNER;UNQ26
DNER;bet
DNHD1;DHCD1
DNHD1;C11orf47
DNHD1;DNHD1L
DNHD1;CCDC35
DNHD1;FLJ32752
DNHD1;FLJ46184
DNHD1;FLJ35709
DNHD1;DKFZp686J0796
DNLZ;C9orf151
DNLZ;RP11-413M3.2
DNLZ;ZIM17
DNLZ;bA413M3.2
DNLZ;TIMM15
DNLZ;HEP
DNM1;DNM
DNM1L;DRP1
DNM1L;DVLP
DNM1L;HDYNIV
DNM1L;DYMPLE
DNM1L;VPS1
DNM1P5;DNM1DN5
DNM1P5;DNM1DN5@
DNM1P9;DNM1DN9@
DNM1P9;DNM1DN9
DNM1P9;DNM1DN9-1
DNM1P17;DNM1DN17
DNM1P17;DNM1DN17@
DNM1P18;DNM1DN18
DNM1P19;DNM1DN19
DNM1P24;DNM1DN15@
DNM1P24;DNM1DN15-1
DNM1P25;DNM1DN15@
DNM1P25;DNM1DN15-3
DNM1P26;DNM1DN16@
DNM1P26;DNM1DN16-1
DNM1P27;DNM1DN16@
DNM1P27;DNM1DN16-3
DNM1P28;DNM1DN3@
DNM1P28;DNM1DN3-1
DNM1P28;DNM1DN3-3
DNM1P29;DNM1DN3@
DNM1P29;DNM1DN3-2
DNM1P30;DNM1DN3@
DNM1P30;DNM1DN4@
DNM1P30;DNM1DN3-4
DNM1P30;DNM1DN4-3
DNM1P31;DNM1DN4@
DNM1P31;DNM1DN4-2
DNM1P32;DNM1DN4@
DNM1P32;DNM1DN4-5
DNM1P33;DNM1DN7@
DNM1P33;DNM1DN7-2
DNM1P34;DNM1DN8@
DNM1P34;DNM1DN8-1
DNM1P34;DNM1DN8-5
DNM1P35;DNM1DN8@
DNM1P35;DNM1DN8-2
DNM1P36;DNM1DN8@
DNM1P36;DNM1DN8-3
DNM1P37;DNM1DN10@
DNM1P37;DNM1DN10-1
DNM1P38;DNM1DN10@
DNM1P38;DNM1P42
DNM1P38;DNM1DN11@
DNM1P38;DNM1DN10-2
DNM1P38;DNM1DN11-8
DNM1P39;DNM1DN11@
DNM1P39;DNM1DN11-3
DNM1P40;DNM1DN11@
DNM1P40;DNM1DN11-5
DNM1P41;DNM1DN11@
DNM1P41;DNM1DN11-6
DNM1P43;DNM1DN11@
DNM1P43;DNM1DN11-10
DNM1P44;DNM1DN11@
DNM1P44;DNM1DN11-13
DNM1P45;DNM1DN12@
DNM1P45;DNM1DN12-2
DNM1P46;DNM1DN14@
DNM1P46;C15orf51
DNM1P46;DNM1DN14.2
DNM1P46;FLJ45937
DNM1P46;DKFZp434I1020
DNM1P47;DNM1DN14@
DNM1P47;DNM1DN14-3
DNM1P49;DNM1DN8@
DNM2;DYNII
DNM2;DYN2
DNM2;CMTDIB
DNM2;CMTDI1
DNM2;DI-CMTB
DNM2;CMT2M
DNM3;KIAA0820
DNM3OS;MIR199A2HG
DNM3OS;DNM3-AS1
DNMBP;KIAA1010
DNMBP;Tuba
DNMBP;ARHGEF36
DNMBP-AS1;NCRNA00093
DNMBP-AS1;FLJ40792
DNMBP-AS1;bA287G8.2
DNMT1;DNMT
DNMT1;MCMT
DNMT1;CXXC9
DNMT3L;MGC1090
DNPEP;DAP
DNPEP;ASPEP
DNPH1;C6orf108
DNPH1;rcl
DNPH1;dJ330M21.3
DNTT;TDT
DNTTIP1;C20orf167
DNTTIP1;dJ447F3.4
DNTTIP1;Tdif1
DNTTIP2;HSU15552
DNTTIP2;ERBP
DNTTIP2;TdIF2
DOC2B;DOC2BL
DOCK1;DOCK180
DOCK1;ced5
DOCK2;KIAA0209
DOCK3;KIAA0299
DOCK3;MOCA
DOCK3;PBP
DOCK4;FLJ34238
DOCK4;KIAA0716
DOCK5;FLJ21034
DOCK6;KIAA1395
DOCK6;ZIR1
DOCK7;KIAA1771
DOCK7;ZIR2
DOCK8;FLJ00026
DOCK8;FLJ00152
DOCK8;ZIR8
DOCK8;FLJ00346
DOCK9;KIAA1058
DOCK9;ZIZ1
DOCK10;ZIZ3
DOCK10;KIAA0694
DOCK11;FLJ32122
DOCK11;FLJ43653
DOCK11;ZIZ2
DOCK11;ACG
DOHH;HLRC1
DOHH;MGC4293
DOK1;p62dok
DOK2;p56dok-2
DOK2;Dok-2
DOK3;FLJ22570
DOK4;FLJ10488
DOK5;C20orf180
DOK5;dJ805C22.1
DOK6;DOK5L
DOK6;MGC20785
DOK6;HsT3226
DOK7;C4orf25
DOK7;FLJ33718
DOK7;FLJ39137
DOK7;Dok-7
DOLK;TMEM15
DOLK;KIAA1094
DOLK;DK1
DOLPP1;LSFR2
DONSON;C21orf60
DONSON;B17
DONSON;C2TA
DONSON;DKFZP434M035
DOPEY1;KIAA1117
DOPEY1;dJ202D23.2
DOPEY2;C21orf5
DOPEY2;KIAA0933
DOT1L;KIAA1814
DOT1L;DOT1
DOT1L;KMT4
DPAGT1;DPAGT2
DPAGT1;DPAGT
DPAGT1;GPT
DPAGT1;D11S366
DPAGT1;DGPT
DPAGT1;ALG7
DPAGT1;CDG-Ij
DPCD;DKFZP566F084
DPCD;RP11-529I10.4
DPCR1;PBLT
DPCR1;bCX105N19.6
DPF1;neuro-d4
DPF1;NEUD4
DPF1;BAF45b
DPF2;REQ
DPF2;ubi-d4
DPF2;BAF45d
